school,campus,canteen,name,price,type
中山大学,南校区,西北风味餐厅,水煮鱼片饭,15,米饭
中山大学,南校区,西北风味餐厅,水煮牛肉饭,18,米饭
中山大学,南校区,西北风味餐厅,藤椒酸菜鱼饭,16,米饭
中山大学,南校区,西北风味餐厅,金酸汤肥牛饭,18,米饭
中山大学,南校区,西北风味餐厅,金酸汤肉片饭,13,米饭
中山大学,南校区,西北风味餐厅,金酸汤牛肉饭,18,米饭
中山大学,南校区,西北风味餐厅,金酸汤鱼片饭,15,米饭
中山大学,南校区,西北风味餐厅,番茄肥牛饭,18,米饭
中山大学,南校区,西北风味餐厅,番茄牛肉饭,18,米饭

中山大学,南校区,西北风味餐厅,萝卜牛腩饭,18,米饭
中山大学,南校区,西北风味餐厅,萝卜牛杂饭,16,米饭
中山大学,南校区,西北风味餐厅,台式卤肉饭,13.8,米饭
中山大学,南校区,西北风味餐厅,隆江猪脚饭,13.8,米饭
中山大学,南校区,西北风味餐厅,卤鸡腿饭,13.8,米饭
中山大学,南校区,西北风味餐厅,紫苏鸭腿饭,15,米饭
中山大学,南校区,西北风味餐厅,梅菜焖肉饭,13.8,米饭
中山大学,南校区,西北风味餐厅,秘酱排骨饭,17,米饭
中山大学,南校区,西北风味餐厅,三杯鸡饭,15,米饭
中山大学,南校区,西北风味餐厅,咖喱鱼蛋饭,13.8,米饭
